,name,categories,lat,lng
0,Kompaan Beer Bar,Beer Garden,52.06703060180698,4.346280706227858
1,Capriole Café,Restaurant,52.064924900544284,4.337417646216941
2,MaMa Kelly,Seafood Restaurant,52.06471231343202,4.3452829070409456
3,Bever,Outdoor Supply Store,52.06928534754583,4.324046827807924
4,Club Vers,Breakfast Spot,52.07135097870872,4.320914545354526
5,De Kade,Restaurant,52.07375995966568,4.316520628770742
6,"Pim Coffee, Sandwiches & Vintage",Coffee Shop,52.07417340776196,4.3162392284235445
7,Sickboardshop,Board Shop,52.063256433932914,4.344878196716309
8,De Klimmuur,Climbing Gym,52.069308990765784,4.323944069335669
9,De Paas,Bar,52.07344317324061,4.315635136757691
10,Luciano,Ice Cream Shop,52.08337187682286,4.330752083392819
11,Filmhuis Den Haag,Indie Movie Theater,52.07634957180704,4.317432954538418
12,Sportcity,Gym,52.06325832592904,4.319482213587778
13,Warung Mini,Indonesian Restaurant,52.0758330882594,4.317606255340717
14,Little V,Vietnamese Restaurant,52.075722,4.314409
15,Haagsche Wens,Café,52.06855945938115,4.324570822853086
16,Crossfit Ninja's,Gym,52.06769922463143,4.33641911047268
17,Novotel Suites Den Haag City Centre,Hotel,52.0770209,4.3132035
18,The American Book Center,Bookstore,52.07888213369707,4.314970743034015
19,Happy Tosti,Sandwich Place,52.079665,4.316878
20,Bartine,Breakfast Spot,52.08055766948351,4.319005608558655
21,Mauritshuis,Art Museum,52.080303656366404,4.314457251614486
22,Paagman Centrum,Bookstore,52.07913770342781,4.315532605823638
23,T&C Haus,Asian Restaurant,52.081027,4.319808
24,Café Pan,Café,52.08155029572295,4.337682262293923
25,Koekamp,Park,52.08184149868211,4.32162964881848
26,HealthCity,Gym,52.07704016104145,4.31429859251867
27,Lebkov & Sons Den Haag,Sandwich Place,52.07924997515861,4.321435958379723
28,Nico's Snackbar,Snack Place,52.082261895928646,4.342783755287002
29,Plein,Plaza,52.07982853875702,4.316142213577234
30,Pasar Makan,Restaurant,52.05561258814654,4.332215875886542
31,Koninklijke Schouwburg,Theater,52.0821114,4.3154602
32,Bagels & Beans,Bagel Shop,52.0780686619051,4.314391518990594
33,Akihito Sushi,Sushi Restaurant,52.05609987605827,4.335827526847339
34,Apple Den Haag,Electronics Store,52.077960548737124,4.311347588891294
35,Amaze Escape Room,Building,52.06784328878792,4.337679774826864
36,'t Achterommetje,Sandwich Place,52.077962254648,4.312124101647381
37,Zaal 4,Movie Theater,52.077425203086065,4.315001730022851
38,Passage,Shopping Mall,52.07763606377443,4.311928618063071
39,Mingle Mush,Food Court,52.08161847574398,4.325529458251214
40,Filtro,Coffee Shop,52.079191978807756,4.308131462089512
41,Hop en Stork,Coffee Shop,52.07834154751321,4.311964213917763
42,Pempek Elysha,Indonesian Restaurant,52.08005105968214,4.353405868662815
43,Haringkraam Buitenhof,Food Truck,52.07907093385553,4.311174039740455
44,Bistro 't Poortje van Verlaan,Diner,52.05504407501673,4.33395755802569
45,House of Tribes Café,Café,52.078299,4.318875
46,Pathe Café,Café,52.07861851318122,4.310820862042911
47,Fratelli,Italian Restaurant,52.081596,4.313652
48,Escher in het Paleis,Art Museum,52.083381407262536,4.314079464728019
49,Paard van Troje,Concert Hall,52.074874190729346,4.307606370368512
50,Toko Menteng VOF,Grocery Store,52.06744,4.36313
51,Irodion,Greek Restaurant,52.0755222495197,4.309413078563234
52,Jamey Bennett,Gastropub,52.07979589282061,4.309398013019319
53,Five Guys,Burger Joint,52.07824274740601,4.314436212680022
54,Markt Herenstraat,Market,52.055333540507,4.333096238232755
